budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Megamind,130000000.0,[u'Tom McGrath'],Paramount (DreamWorks),148415853.0,173469912.0,Animation,PG,96,948.0,-0.5760000000000001,20,2975.0,1.85,18,2183.0,-0.311,21,2036.0,-0.126,25,1641.0,-0.22100000000000003,27,1718.0,-0.12300000000000001,29,15137.0,59702174.0,1,8508.0,-0.43700000000000006,1,7136.0,-0.275,2,4114.0,-0.424,4,1897.0,-0.5710000000000001,6,1344.0,-0.45799999999999996,10,1345.0,-0.5770000000000001,17,1612.0,-0.107,14,1097.0,-0.319,14,NA,josieandthepussycats
Men in Black,90000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,250690539.0,338700000.0,Sci-Fi Comedy,PG-13,97,1522.0,-0.40399999999999997,10,1432.0,-0.13699999999999998,10,1172.0,-0.24600000000000002,10,1037.0,-0.242,10,928.0,-0.23500000000000001,11,852.0,-0.326,13,25317.0,76457208.0,1,14435.0,-0.43,1,9210.0,-0.34500000000000003,1,5794.0,-0.355,3,4175.0,-0.336,5,3297.0,-0.28500000000000003,5,2884.0,-0.255,7,2224.0,-0.374,10,2438.0,-0.067,10,[u'Ed Solomon'],judgedredd
Men in Black II,140000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,190418803.0,251400000.0,Sci-Fi Comedy,PG-13,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20575.0,73185365.0,1,9775.0,-0.518,1,5858.0,-0.396,3,3491.0,-0.42,4,2458.0,-0.423,9,1492.0,-0.5660000000000001,11,1187.0,-0.531,14,1053.0,-0.465,20,NA,NA,NA,NA,kickass
Men in Black III,225000000.0,[u'Barry Sonnenfeld'],Sony / Columbia,179020854.0,445005922.0,Sci-Fi Comedy,PG-13,106,1678.0,-0.29,24,3279.0,2.41,16,2653.0,-0.268,17,1751.0,-0.423,25,1415.0,-0.27399999999999997,30,1548.0,-0.12300000000000001,32,19539.0,83003553.0,1,9181.0,-0.53,2,5452.0,-0.47000000000000003,4,4804.0,-0.272,6,3656.0,-0.402,9,4609.0,-0.48100000000000004,13,2848.0,-0.46399999999999997,16,2625.0,-0.479,15,1662.0,-0.6609999999999999,21,[u'Etan Cohen'],kickass2
Mighty Morphin' Power Rangers,NA,NA,Fox,38187431.0,28245763.0,Family Adventure,PG,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8109.0,19534264.0,4,3576.0,-0.559,6,2040.0,-0.517,9,1501.0,-0.485,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leagueofextraordinarygentlemen
Monkeybone,75000000.0,[u'Henry Selick'],Fox,5411999.0,2210366.0,Fantasy Comedy,PG-13,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866.0,3212597.0,11,801.0,-0.564,15,659.0,-0.655,21,799.0,-0.6559999999999999,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mask
My Super Ex-Girlfriend,NA,[u'Ivan Reitman'],Fox,22530295.0,38454311.0,Fantasy Comedy,PG-13,95,737.0,-0.375,60,592.0,-0.552,73,635.0,-0.43200000000000005,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,4683.0,12654353.0,7,2392.0,-0.489,10,1739.0,-0.706,20,1509.0,-0.6970000000000001,27,1233.0,-0.525,34,1103.0,-0.258,37,1204.0,-0.051,44,1021.0,-0.396,46,856.0,-0.38200000000000006,53,[u'Don Payne'],maskofzorro
Mystery Men,68000000.0,NA,Universal,29762011.0,3699000.0,Fantasy Comedy,PG,122,636.0,-0.5910000000000001,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6840.0,14610265.0,6,3330.0,-0.512,8,2105.0,-0.423,11,1460.0,-0.6509999999999999,20,1590.0,-0.159,18,990.0,-0.584,27,755.0,-0.425,32,715.0,-0.165,31,687.0,-0.315,36,NA,mastermind
Oblivion,120000000.0,[u'Joseph Kosinski'],Universal,89107235.0,197061337.0,Sci-Fi Adventure,PG-13,125,1105.0,-0.23500000000000001,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500.0,47287500.0,1,6035.0,-0.516,2,2221.0,-0.667,4,2330.0,-0.284,7,2090.0,-0.41100000000000003,8,2112.0,-0.624,10,1550.0,-0.542,16,1236.0,-0.335,20,1125.0,-0.212,22,"[u'Michael Arndt', u'Karl Gajdusek', u'Joseph Kosinski']",meninblack
Priest,60000000.0,[u'Scott Charles Stewart'],Sony / Screen Gems,29136626.0,49172505.0,Action Horror,PG-13,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6663.0,19083128.0,4,2262.0,-0.66,6,1447.0,-0.5720000000000001,11,987.0,-0.793,16,1060.0,-0.6890000000000001,28,635.0,-0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Cory Goodman'],meninblack2
RIPD,130000000.0,[u'Robert Schwentke'],Universal,33618855.0,44705365.0,Action / Adventure,PG-13,96,840.0,-0.231,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6485.0,18494980.0,7,3668.0,-0.48200000000000004,9,3481.0,-0.6409999999999999,15,1450.0,-0.798,22,1770.0,-0.538,30,1555.0,-0.131,35,1775.0,0.155,39,1120.0,-0.369,38,1005.0,-0.18600000000000003,42,"[u'Phil Hay', u'Matt Manfredi']",mib3
Richie Rich,40000000.0,NA,Warner Bros.,38087756.0,NA,Family Comedy,PG,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5695.0,9955678.0,7,7052.0,0.23800000000000002,3,2386.0,-0.659,8,1986.0,-0.21300000000000002,12,1099.0,-0.531,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monkeybone
Road to Perdition,80000000.0,[u'Sam Mendes'],DreamWorks,104454762.0,76546716.0,Crime Drama,R,119,1091.0,-0.29100000000000004,16,807.0,-0.5720000000000001,19,717.0,-0.542,26,586.0,-0.233,28,723.0,-0.5870000000000001,49,462.0,-0.5720000000000001,66,17748.0,31892275.0,2,10490.0,-0.29,2,7117.0,-0.29300000000000004,3,4082.0,-0.405,7,2908.0,-0.325,7,2825.0,-0.159,8,2090.0,-0.28,11,2304.0,0.043,9,1228.0,-0.5710000000000001,14,NA,mysterymen
Scott Pilgrim vs the World,60000000.0,[u'Edgar Wright'],Universal,31524275.0,16140284.0,Action Comedy,PG-13,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570.0,15696285.0,5,2825.0,-0.493,10,2853.0,-0.545,14,2895.0,-0.355,18,1780.0,-0.528,17,1245.0,-0.5660000000000001,22,975.0,-0.525,35,825.0,-0.564,43,NA,NA,NA,"[u'Michael Bacall', u'Edgar Wright']",oblivion
