budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
40000000.0,,Warner Bros.,38087756.0,,Family Comedy,PG,94,,,,,,,,,,,,,,,,,,,5695.0,9955678.0,7,7052.0,0.238,3.0,2386.0,-0.659,8.0,1986.0,-0.213,12.0,1099.0,-0.531,17.0,,,,,,,,,,,,,,Richie Rich
130000000.0,[u'Robert Schwentke'],Universal,33618855.0,44705365.0,Action / Adventure,PG-13,96,840.0,-0.231,47.0,,,,,,,,,,,,,,,,6485.0,18494980.0,7,3668.0,-0.482,9.0,3481.0,-0.641,15.0,1450.0,-0.798,22.0,1770.0,-0.538,30.0,1555.0,-0.131,35.0,1775.0,0.155,39.0,1120.0,-0.369,38.0,1005.0,-0.186,42.0,"[u'Phil Hay', u'Matt Manfredi']",RIPD
80000000.0,[u'Sam Mendes'],DreamWorks,104454762.0,76546716.0,Crime Drama,R,119,1091.0,-0.291,16.0,807.0,-0.572,19.0,717.0,-0.542,26.0,586.0,-0.233,28.0,723.0,-0.587,49.0,462.0,-0.572,66.0,17748.0,31892275.0,2,10490.0,-0.29,2.0,7117.0,-0.293,3.0,4082.0,-0.405,7.0,2908.0,-0.325,7.0,2825.0,-0.159,8.0,2090.0,-0.28,11.0,2304.0,0.043,9.0,1228.0,-0.571,14.0,,Road to Perdition
35000000.0,[u'Joe Johnston'],Buena Vista,46704056.0,,Period Action,PG,108,,,,,,,,,,,,,,,,,,,8921.0,14417107.0,3,6049.0,-0.202,5.0,4058.0,-0.335,6.0,2497.0,-0.433,10.0,2049.0,-0.4,12.0,,,,,,,,,,,,,,The Rocketeer
60000000.0,[u'Edgar Wright'],Universal,31524275.0,16140284.0,Action Comedy,PG-13,113,,,,,,,,,,,,,,,,,,,5570.0,15696285.0,5,2825.0,-0.493,10.0,2853.0,-0.545,14.0,2895.0,-0.355,18.0,1780.0,-0.528,17.0,1245.0,-0.566,22.0,975.0,-0.525,35.0,825.0,-0.564,43.0,,,,"[u'Michael Bacall', u'Edgar Wright']",Scott Pilgrim vs the World
81000000.0,[u'Matthew Vaughn'],Fox,128261724.0,286089822.0,Action / Adventure,R,129,1691.0,-0.468,16.0,1775.0,-0.198,17.0,946.0,-0.604,22.0,1278.0,0.236,22.0,1198.0,-0.231,23.0,3324.0,0.007,22.0,15475.0,49580949.0,2,7460.0,-0.509,2.0,4809.0,-0.352,2.0,3691.0,-0.275,4.0,3339.0,-0.231,3.0,2880.0,-0.272,5.0,2344.0,-0.347,6.0,2001.0,-0.365,8.0,1744.0,-0.335,10.0,"[u'Jane Goldman', u'Matthew Vaughn']",Kingsman: The Secret Service
,[u'Russell Mulcahy'],Universal,32063435.0,16000000.0,Period Action,PG-13,108,,,,,,,,,,,,,,,,,,,8700.0,14589900.0,3,4329.0,-0.475,5.0,2176.0,-0.525,8.0,1541.0,-0.432,10.0,,,,,,,,,,,,,,,,[u'David Koepp'],The Shadow
40000000.0,"[u'Frank Miller', u'Robert Rodriguez']",Dimension Films,74103820.0,84650000.0,Crime,R,125,883.0,-0.451,32.0,737.0,-0.376,46.0,707.0,-0.027,51.0,844.0,-0.221,57.0,833.0,2.79,36.0,782.0,-0.16,37.0,11334.0,36608243.0,1,5575.0,-0.508,2.0,2972.0,-0.504,4.0,2158.0,-0.433,7.0,1657.0,-0.454,9.0,1251.0,-0.546,14.0,1452.0,-0.603,19.0,1211.0,-0.543,23.0,1354.0,-0.358,32.0,[u'Frank Miller'],Sin City
,"[u'Frank Miller', u'Robert Rodriguez']",Weinstein / Dimension,13757804.0,25649812.0,Crime,R,102,,,,,,,,,,,,,,,,,,,2969.0,8591561.0,8,1253.0,-0.578,14.0,899.0,-0.701,16.0,1139.0,-0.714,31.0,1249.0,-0.75,46.0,631.0,-0.299,55.0,724.0,-0.693,70.0,,,,,,,[u'Frank Miller'],Sin City: A Dame to Kill For
35000000.0,[u'Mike Mitchell'],Buena Vista,63946815.0,22423000.0,Family Adventure,PG,102,845.0,-0.501,27.0,1042.0,0.312,31.0,850.0,-0.341,33.0,755.0,-0.269,42.0,597.0,-0.365,47.0,789.0,0.075,47.0,7919.0,23003257.0,3,4872.0,-0.383,4.0,3434.0,-0.321,8.0,2698.0,-0.399,10.0,2198.0,-0.31,12.0,1839.0,-0.257,13.0,1096.0,-0.555,15.0,1192.0,-0.283,15.0,1060.0,-0.412,20.0,,Sky High
